Question,Answer
アメリカで投票するには登録する必要がありますか,YES
シロナガスクジラには背骨がありますか,YES
ボードウォーク・エンパイアのシーズン6はありますか？,No
ニューヨークからカリフォルニアまで歩いた人はいますか,YES
NFLで試合は引き分けで終わることはありますか,YES
ワシントンにフォークという町がありますか,YES
レゴ ジュラシック ワールドには映画が 4 つすべてありますか?,YES
ジャージーにナショナルトラスト物件はありますか,YES
モルモットはパプアニューギニアから来ますか,No
自分の汗にアレルギーはありますか,YES
枢機卿になるには司教になる必要がありますか,YES
マイリー・サイラスはハイスクール・ミュージカル2で演じましたか？,YES
ワールドカップにペナルティキックはありますか,YES
ロラゼパムは筋肉弛緩剤として使用できますか,YES
NFLでフィールドゴールを偽装できますか,YES
誤審後に裁判に戻ることはできますか,YES
モンサンミッシェルと聖ミカエルの山は関係がありますか,YES
グレイズ・アナトミーシーズン6でデレクは死ぬのか？,YES
フィリピン大学は州立大学ですか,YES
ロブスターの緑色のものを食べても大丈夫ですか？,YES
テキサス州の免許証を持ってニューメキシコに持ち込むことを隠して持ち込むことはできますか,YES
ヒイラギの実は有毒ですか,YES
インドはFIFAワールドカップに出場したことがありますか,YES
パートナーシップは企業の株主になれますか,No
アーク障害ブレーカーを使用する必要がありますか?,YES
グリーンランタン2の映画はありますか？,No
高校を卒業してすぐにNBAでプレーできますか,YES
膝の裏にリンパ節はありますか,YES
ps3で悪名高き次男をプレイできますか？,No
セントジョンズ川にはイルカがいますか,YES
ジェームズとオリバー・フェルプスは実生活でも双子ですか？,YES
ブラックストラップモラセスはモラセスと同じですか,No
トランプホテルラスベガスにカジノはありますか,No
民間人は連邦政府を訴えることができますか,YES
ヘリコプターはエベレストの頂上に到達できますか,YES
最高裁判所が判決を覆したことはありますか,YES
中国はこれまでにFIFAワールドカップの出場権を獲得したことがありますか,YES
クロアチアはワールドカップ決勝に進出したことがありますか,YES
牛は牛乳を出すために出産する必要がありますか,YES
チェコ共和国では公共の場でお酒を飲めますか,YES
イギリスで津波があったことがありますか,YES
映画「パピヨン」はアカデミー賞を受賞しましたか,No
赤黄色とオレンジのピーマンは味が違いますか,YES
米国で栽培されているバナナはありますか,YES
4つの国が交わる場所はありますか,YES
東ドイツと西ドイツを隔てる壁はありましたか,YES
米国国民は他の国の国民になれるか,YES
PK戦のゴールはゴールデンブーツにカウントされますか,No
純血種の犬のようなものはありますか,YES
シャドウハンターのシーズン4はありますか？,No
エピソード3ではアナキンはジェダイ・マスターですか？,No
ピューマとクーガーは同じ猫ですか,YES
満月は世界中で同じ時期に起こりますか,YES
メキシコの西海岸はハリケーンに襲われますか,YES
射撃場に行くには銃を所有する必要がありますか,No
プエルトリコはアメリカに税金を払っていますか,YES
ファイナルデスティネーションの映画ではみんな死ぬの？,YES
最高裁判所の判決はすべての州に適用されるのか,YES
アイルランド語はゲール語と同じですか,YES
空中に撃たれた弾丸は戻ってくるのか,YES
8月の銀行休業日は以前は8月の初めでしたか？,YES
Xbox 360 ゲームは Xbox One で動作しますか,YES
国歌と星条旗は同じですか,YES
アラバマ州で弾を込めた銃を車の中に持ち込むことは合法ですか,No
EFLカップで優勝したらヨーロッパリーグに出場できますか？,YES
フォードエスケープにはハイブリッドがありますか,YES
ウィッチマウンテンへの2番目のレースはありますか,YES
多発性神経障害と末梢神経障害は同じものですか,No
映画『フィラデルフィア』はアカデミー賞を受賞しましたか,YES
肺魚のヒレや足には骨がありますか,YES
ニューディレクションズはナショナルズシーズン3で優勝するのか？,YES
アイルランド共和国は2018年ワールドカップへの出場権を獲得しましたか,No
メッシとロナウドは対戦したことがありますか,YES
スロバキアはワールドカッププレーオフへの出場権を獲得しましたか,No
アフリカゾウはサハラ砂漠に住んでいますか,YES
ヒューストン・アストロズはかつてナショナルリーグに所属していましたか,YES
サッカーで1点を取ることは可能ですか,YES
Xbox 360で古いXboxゲームをプレイできますか,YES
満塁四球で打点を獲得できますか？,YES
ニュージーランドで二重国籍を取得できますか,YES
