Question,Answer
アンナはフィフティ・シェイズ・フリードで妊娠しますか,YES
体全体がオフサイドでなければなりませんか,No
米国は第二次世界大戦の草案を持っていましたか,YES
ギターセンターとミュージシャンの友達は同じですか,YES
ニコチン離脱というものはありますか,YES
イエロージャケットとスズメバチは同じものですか,No
私ではなく彼にキスしますか?セカンドシーズンはありますか?,No
危険な状況で100万ドルを勝ち取った人はいますか,YES
飛行機からの落下で生き残った人はいますか,YES
NBAにサラリーキャップはありますか,YES
カナダのグレイシャー国立公園に氷河はありますか,YES
空に雲がなければ雨が降ることはありますか,YES
アメリカで投票するには登録する必要がありますか,YES
シロナガスクジラには背骨がありますか,YES
ボードウォーク・エンパイアのシーズン6はありますか？,No
ニューヨークからカリフォルニアまで歩いた人はいますか,YES
NFLで試合は引き分けで終わることはありますか,YES
ワシントンにフォークという町がありますか,YES
レゴ ジュラシック ワールドには映画が 4 つすべてありますか?,YES
ジャージーにナショナルトラスト物件はありますか,YES
モルモットはパプアニューギニアから来ますか,No
自分の汗にアレルギーはありますか,YES
枢機卿になるには司教になる必要がありますか,YES
マイリー・サイラスはハイスクール・ミュージカル2で演じましたか？,YES
ワールドカップにペナルティキックはありますか,YES
ロラゼパムは筋肉弛緩剤として使用できますか,YES
NFLでフィールドゴールを偽装できますか,YES
誤審後に裁判に戻ることはできますか,YES
モンサンミッシェルと聖ミカエルの山は関係がありますか,YES
グレイズ・アナトミーシーズン6でデレクは死ぬのか？,YES
フィリピン大学は州立大学ですか,YES
ロブスターの緑色のものを食べても大丈夫ですか？,YES
テキサス州の免許証を持ってニューメキシコに持ち込むことを隠して持ち込むことはできますか,YES
ヒイラギの実は有毒ですか,YES
インドはFIFAワールドカップに出場したことがありますか,YES
パートナーシップは企業の株主になれますか,No
アーク障害ブレーカーを使用する必要がありますか?,YES
グリーンランタン2の映画はありますか？,No
高校を卒業してすぐにNBAでプレーできますか,YES
自分の皮を食べる病気はありますか,YES
ギザの大ピラミッドはどのくらい前から存在していますか,No
シャチとシャチは同じものですか,YES
花嫁は白いドレスを着なければなりませんか,No
イギリスでピストルを持てますか,No
コラの伝説はアバターに関連していますか,YES
扇風機をつけて寝ると死ぬことはありますか,No
メイズランナーの続編はあるのでしょうか？,YES
大統領は退任後に給料を受け取りますか,YES
哺乳類は生きたまま出産する唯一の動物ですか,No
東京グールと東京グールは関係があるの？,YES
シアーズタワーはハンコックビルと同じですか,No
元の憲法には権利章典があったのか,No
飛行機から落ちて生き延びた人はいますか,YES
テキサス州のレストランで未成年者が親と一緒に飲酒できるか,No
平行四辺形には 2 組の平行な辺がありますか?,YES
レオナルド・ディカプリオはレヴェナントで賞を受賞しましたか,YES
誰でも体外離脱体験をすることができますか,YES
セットは開いた状態と閉じた状態の両方にできますか,YES
ミシガン州立大学には医学部がありますか,YES
キリマンジャロ山は世界で一番高い山ですか,No
オーストラリアは世界で最大の大陸ですか,No
物語は一人称である必要がありますか,No
イーライの本でイーライは死んだの？,YES
「アイ・アム・フォー」の別の映画はあるのでしょうか？,No
犬の目的はディズニー映画ですか,No
ジョーイはワトソンズ・ゴー・トゥ・バーミンガムで死ぬのか？,No
ワシントン・キャピタルズがスタンレーカップ決勝で対戦したことがありますか,YES
大統領は議会なしに法律を制定できるか,YES
ピンクゴールドのようなものはありますか,YES
テキサス州の旗は米国旗と同じようにはためくことができますか,No
アカエイのとげはまた伸びますか,YES
循環グループに複数のジェネレータを含めることはできますか,YES
オリジナルのゴーストバスターズはすべて新しい映画に登場しますか,No
緊張のシーズン4はありますか,YES
ゲームはオセロと同じですか,No
ジャングルのジョージとターザンは同じですか,No
二部グラフは接続する必要がありますか,No
ブラックカードのようなものはありますか,YES
第2次インフィニティ戦争は起こるのか,YES
バフィーはエンジェルシーズン5に登場しますか？,No
アメリカは今年ワールドカップに出場しますか,No
桜の木は桜の木と同じですか,No
テーブルに主キーが含まれている場合、テーブル内に重複レコードは存在できません,No
オオカミと犬を交配できますか,YES
フィラデルフィアには岩だらけの像がまだありますか,YES
テキサス州で運転中にビールを飲むのは合法ですか,No
ジェリーはトムとジェリーの女の子ですか,No
ドミニカ共和国はワールドカップに行ったことがありますか,No
リージョン 2 の DVD はオーストラリアで再生できますか?,No
あなたのお母さんと出会ったきっかけについて、ステラはお母さんですか？,No
警察は逃走中の容疑者に致命的な武力を行使できるか,YES
鳥は動物ですか「はい」または「いいえ」,YES
ブレイキング・バッドのシーズン6はありますか,No
インフィニティFX35は日産ムラーノと同じですか,No
ピートのドラゴンは映画の中で死ぬのですか？,No
液体ブドウ糖とコーンシロップは同じですか,YES
NBAチーム全員がリングを手に入れますか,YES
矛盾した言葉は隣同士でなければなりませんか,No
リドラーとジョーカーは同じキャラクターですか,No
心を呼ぶときのエピソードは他にもありますか,YES
新しい車のエンジンを慣らし運転する必要がありますか,YES
人間とチンパンジーのハイブリッドが存在したことがありますか,No
これが法と秩序の最後のシーズンですか,No
すべてのフレンチ ブルドッグには AC セクションが必要ですか?,No
DCで隠し武器を持ち運べますか,YES
小さな大きな町の歌手で結婚している人はいますか,YES
コネチカット州で竜巻が起きたことがありますか,YES
モスバーグ 500 ストックはマーベリック 88 に適合しますか?,YES
qが付く単語はありますがuはありませんか,YES
すべての猫の額には「M」が付いていますか?,No
オランダからのトルコへのビザは必要ですか?,YES
チャンピオンズリーグの勝者は自動的に出場資格を得ますか,YES
映画に出てくる猫のボブは本物ですか？,YES
脂肪酸の合成と分解は細胞の同じ場所で起こりますか,No
フロリダでは女性用製品に税金がかかりますか,No
鼻くそを食べると免疫力が向上しますか,YES
沿岸警備隊は軍の一部門ですか,YES
絞首刑の陪審で再審を受けることはできますか,YES
彼らはまた裏世界の映画を公開するのでしょうか？,YES
公正信用報告法 (fcra) は、いくつかの理由から画期的な法律でした。,YES
映画「ギャング・オブ・ニューヨーク」は実話ですか？,No
道路標識を盗むのは重罪ですか,No
膝の裏にリンパ節はありますか,YES
ps3で悪名高き次男をプレイできますか？,No
セントジョンズ川にはイルカがいますか,YES
カービィ掃除機はまだ訪問販売していますか,YES
ジェームズとオリバー・フェルプスは実生活でも双子ですか？,YES
ブラックストラップモラセスはモラセスと同じですか,No
トランプホテルラスベガスにカジノはありますか,No
民間人は連邦政府を訴えることができますか,YES
ヘリコプターはエベレストの頂上に到達できますか,YES
黄色の実線を通過するのは違法ですか,No
オフィスに本物のコウモリがいましたか,YES
最高裁判所が判決を覆したことはありますか,YES
中国はこれまでにFIFAワールドカップの出場権を獲得したことがありますか,YES
クロアチアはワールドカップ決勝に進出したことがありますか,YES
牛は牛乳を出すために出産する必要がありますか,YES
イタリア語のアルファベットにajはありますか,No
今までフィールド上で亡くなった野球選手はいますか,No
エオウィンは王の代わりに死ぬのか,No
チェコ共和国では公共の場でお酒を飲めますか,YES
イギリスで津波があったことがありますか,YES
相同染色体は第 2 減数分裂でペアになりますか,No
キャドバリーのクリーム卵は一年中買えますか,No
シリアは化学兵器禁止条約の一部ですか,YES
テキサスで両親と一緒に飲めますか,YES
映画「パピヨン」はアカデミー賞を受賞しましたか,No
赤黄色とオレンジのピーマンは味が違いますか,YES
米国で栽培されているバナナはありますか,YES
4つの国が交わる場所はありますか,YES
本物のリーダーシップは哲学に深く根ざしていますか,YES
KFCでダブルダウンをまだ入手できますか,YES
ドイツ語能力バッジはオーブにありますか,No
東ドイツと西ドイツを隔てる壁はありましたか,YES
米国国民は他の国の国民になれるか,YES
子宮と子宮は同じものですか,YES
エディ・マーフィーは本当にいつもパーティーを歌っているのですか？,YES
食べ物のパスタはポーランドに最も関連しているということでしょうか？,No
サバイバーの2位は賞金を獲得しますか,YES
PK戦のゴールはゴールデンブーツにカウントされますか,No
イギリスにはプライドと偏見が存在するのか,YES
純血種の犬のようなものはありますか,YES
黒豆はスッポン豆と同じですか,YES
博士を医者に呼ばなければなりませんか,YES
シャドウハンターのシーズン4はありますか？,No
エピソード3ではアナキンはジェダイ・マスターですか？,No
シーズン7には新しい女の子が登場しますか？,YES
スクール・オブ・ロックのシーズン4はありますか？,No
最高裁判事はいつも9人いたのか,No
ピューマとクーガーは同じ猫ですか,YES
満月は世界中で同じ時期に起こりますか,YES
ゲーリックフットボールでゴールをハンドパスできますか,YES
メキシコの西海岸はハリケーンに襲われますか,YES
射撃場に行くには銃を所有する必要がありますか,No
アリゾナ州の警察に身分を証明する必要がありますか,YES
彼らはライオンキングを実写化しますか？,No
ミズーリ州での飲酒運転は合法ですか,No
プエルトリコはアメリカに税金を払っていますか,YES
ファイナルデスティネーションの映画ではみんな死ぬの？,YES
彼らはギリガンの島から出ることがあるだろうか,YES
最高裁判所の判決はすべての州に適用されるのか,YES
外科的精神はメチル化された精神と同じですか,YES
キングダムハーツ3は英語版になる予定ですか？,YES
ヴァンパイア・ダイアリーのシーズン8はありますか？,YES
アイルランド語はゲール語と同じですか,YES
空中に撃たれた弾丸は戻ってくるのか,YES
8月の銀行休業日は以前は8月の初めでしたか？,YES
Xbox 360 ゲームは Xbox One で動作しますか,YES
国歌と星条旗は同じですか,YES
アラバマ州で弾を込めた銃を車の中に持ち込むことは合法ですか,No
EFLカップで優勝したらヨーロッパリーグに出場できますか？,YES
フォードエスケープにはハイブリッドがありますか,YES
ウィッチマウンテンへの2番目のレースはありますか,YES
多発性神経障害と末梢神経障害は同じものですか,No
凶悪なキッチンの新しいエピソードはありますか,No
映画ベンジーで犬は死ぬ？,No
映画の静寂の中で猫は死ぬのか,No
映画は彼ら自身の真実のリーグですか,No
タイミングベルトとカムベルトは同じものですか,YES
映画『フィラデルフィア』はアカデミー賞を受賞しましたか,YES
肺魚のヒレや足には骨がありますか,YES
アヴェット兄弟は新しいアルバムをレコーディングしていますか,YES
2ウェイランプで3ウェイ電球を使用できますか?,No
連合規約は議会を設立しましたか,YES
ニューディレクションズはナショナルズシーズン3で優勝するのか？,YES
アイルランド共和国は2018年ワールドカップへの出場権を獲得しましたか,No
メッシとロナウドは対戦したことがありますか,YES
スロバキアはワールドカッププレーオフへの出場権を獲得しましたか,No
アフリカゾウはサハラ砂漠に住んでいますか,YES
ジャズは昨年プレーオフに進出しましたか,YES
ヒューストン・アストロズはかつてナショナルリーグに所属していましたか,YES
クリスティーナとバークは結婚式後に復縁しますか,No
ペナルティキルでパックをアイスしてもらえますか,YES
サッカーで1点を取ることは可能ですか,YES
マホーニング川の始まりと終わりはどこですか,No
Xbox 360で古いXboxゲームをプレイできますか,YES
満塁四球で打点を獲得できますか？,YES
ニュージーランドで二重国籍を取得できますか,YES
沿岸警備隊で口ひげを生やせますか,YES
あなたの侍女は結婚しなければなりませんか,No
米国国民は米国国民になれるか,YES
デブラ・モーガンはデクスターに恋をしますか,YES
ゲーム番組の追跡はまだテレビで放送されていますか,No
米国で生まれれば自動的に国民になりますか,YES
テキサスでは公共の場でお酒を飲めますか,No
双子は子宮内でもう一方を吸収できますか,YES
マルーフ家はサクラメント・キングスの所有者ですか,No
iPhone 6の次はiPhone SEですか,No
クレイ・トンプソンの父親はNBAでプレーしていましたか,YES
映画「マーリーと私」でマーリーは死にますか？,YES
贈収賄行為は金銭の支払いのみを対象としていますか,YES
東ティモールへのビザは必要ですか?,YES
バットマンの息子の続編はありますか,YES
中国国民はモロッコへのビザが必要ですか,No
ステラは欲望という名の路面電車の最後尾でスタンリーと別れますか?,YES
78はペンシルベニア州の有料道路ですか,No
ベンおじさんは、大きな力には大きな責任が伴うと言ったでしょうか,YES
散弾銃のピストルグリップを持つことは合法ですか,YES
ウィスコンシンとミシガンの間に橋はありますか,YES
水分が多すぎると細胞が破裂することがありますか,YES
オリジナルの宇宙空間にロボットは存在しましたか,YES
ブルーコーンのようなものはありますか,YES
マンマ ミーア 2 の曲はすべてアバですか,YES
コール オブ デューティ ブラックオプス 1にはゾンビがいますか,YES
細胞壁を持たない細菌はグラム染色で染色できるでしょうか,No
グランドナショナルで馬が死んだの？,YES
矢の新しい季節はありますか,YES
牛は牛乳を生産するために子牛を産む必要がありますか,YES
シドニー・ポワチエはこれまでに語られた最高の物語で演じましたか,YES
落ちた映画に続編はあるのか,No
シエラミストとスプライトは同じものですか,No
saエアリンクはsaエクスプレスと同じですか,No
ノースダコタはあなたの本拠地である州ですか,YES
ジョーシー・ウェールズは映画の最後に死ぬのですか？,No
ビージーはまだ生きていますか,YES
英国には忠誠の誓いがあるか,YES
プロピオン酸クロベタゾールクリームはツタウルシに効果がありますか,YES
ダンスママのシーズン7はありますか？,YES
実話を基にした映画「ショーシャンクの空に」とは何ですか？,No
ジャッキーとハイドはシーズン7で復縁するのか,YES
真空中に終端速度はありますか,YES
バック・トゥ・ザ・フューチャーの乗り物はまだありますか,No
米国内に国はありますか,YES
スクラブルですべての文字を使用するとポイントを獲得できますか,YES
母親がカナダで生まれた場合、カナダ国籍を取得できますか,YES
プリンスはスティービー・ニックスのためにスタンドバックを書いたのか？,No
ギリガンは島から出られることはありますか,YES
ケニアはワールドカップに出場したことがありますか,No
キャドバリーのクリーム卵は昔はもっと大きかったですか？,YES
つま先立ちで歩くのが普通ですか,No
ミルウォーキー・ブルワーズはワールドシリーズで優勝しましたか,No
大統領は最高裁判所の裁判官を任命できるか,YES
ランブラス通りはランブラス通りと同じですか,YES
トマトはナス科の一員ですか,YES
フリースローを打ちながらジャンプできますか,YES
ニュージーランドのブロックにいることで給料をもらっていますか？,YES
フラッシュの次のシーズンはありますか,YES
ハドソンリバースクールは実際の学校だったのか,No
ミニブタのようなものはありますか,YES
誰かが左利きでも右利きでもありますか,YES
アメリカ南北戦争の草案はありましたか,YES
海兵隊は米国海軍の一部ですか,YES
マンハッタン橋はブルックリン橋と同じですか,No
米国の郵便局は儲かりますか,YES
フェーズ 10 を 8 人のプレイヤーでプレイできますか,No
マレーシアでエアソフトガンを所有することは合法ですか,YES
フェレットとイタチは同じものですか,No
最高裁判事には秘密諜報員がいますか,No
『War of the World』は何か賞を受賞しましたか,YES
ゴシップガールのブレアには子供がいますか,YES
カナダにインとアウトはありますか,No
フラーハウスの赤ちゃんは双子ですか,YES
バイソンと牛を飼育できますか,YES
ベルギーがワールドカップ決勝で勝ったことがありますか,YES
ピーターラビットの物語は寓話ですか,YES
ノンリーグチームがFAカップで優勝したことがありますか,YES
エイヴリーとケプナーはシーズン10で復縁するのか,YES
ロスカボスはカボサンルーカスと同じですか,No
ミズーリ州で隠し武器を持ち運べますか,No
米国で投票するには国民である必要がありますか,YES
五大湖は大西洋につながっていますか,YES
ニューヨークのペン駅はグランドセントラルと同じですか,No
クリスマスとクリスマスの違いはありますか,No
ハートの女王と赤の女王は同一人物ですか,No
双子が別々の父親を持つことは可能ですか,YES
ハリボーのグミベアはどれも同じ味ですか？,No
ドラゴンクエストXが米国に来るのか,No
ペンシルバニアでは日曜日にワインを買えますか,YES
ウォルトン・オン・テムズでオイスターカードは使えますか,No
目次は 1 ページ目としてカウントされますか,No
コロラド川は海につながっていますか,No
中国の旧正月がバレンタインデーに当たることはありますか,YES
シーズン2がある13の理由はありますか,YES
ディーゼルエンジンは木質ガスで作動できますか,YES
カッテージチーズはチーズカードと同じですか,No
映画では逃げられないのですが、彼らは生き残ることができますか？,YES
ジャクソンとエイプリルは離婚後再び一緒になるのか,No
エンパイアステートビルにエレベーターはありますか,YES
スカイフォール以来ジェームズ・ボンド映画はありましたか？,YES
ガモーラはコミックで復活しますか？,YES
アバターレジェンドオブコラのシーズン5はありますか？,No
キツネと猟犬はディズニー映画ですか,YES
サンディエゴ大学はイエズス会の学校ですか,No
テキサスで枢機卿を殺害することは違法ですか,YES
全英オープンでカットはありますか,YES
チャンピオンシッププレーオフではアウェイゴールはカウントされますか,No
黄色の制限速度標識に従わなければなりませんか,No
ミスターロボットシーズン4はありますか？,YES
クリス・ルドゥーは人生はハイウェイと歌いましたか,YES
シエラネバダ山脈はロッキー山脈の一部ですか,No
カリフォルニアで50カロリー買えますか？,No
海兵隊はまだ海軍の一部門ですか,YES
コロナド橋には料金がかかりますか,No
乳首と乳輪は同じものですか,No
米国に公立病院はありますか,YES
シマウマと馬を交配できますか,YES
豚皮と豚皮は同じものですか,YES
新入生としてレターマンジャケットをもらえますか,YES
ヒマーチャル プラデーシュ州はウッタル プラデーシュ州と国境を共有していますか,YES
ワシントン DC の住民は大統領に投票できますか,YES
ノースカロライナ州にはオープンキャリーガン法はありますか,YES
司法長官は弁護士である必要がありますか,YES
その単語はウェブスターの辞書に載っていないのですか,YES
サイモン対ホモサピエンスのアジェンダの続編はありますか,YES
ペイ・イット・フォワードという本は実話ですか,No
エヴァンゲリオン映画はアニメと同じですか,YES
チェサピーク ベイ ブリッジは有料道路ですか,YES
韓国はワールドカップ2018への出場権を獲得しましたか,YES
ペンシルベニア州にあなたの根拠法はありますか,YES
髪をドライヤーで乾かすとシラミの卵は死滅しますか,YES
チェコ共和国はEUの一部ですか,YES
頭を剃るとシラミは消えますか,YES
アレックス・カレフは撃たれると死ぬのか,No
キャスリングを使ってチェックを逃れることはできますか,No
タホ湖は冬には凍りますか,No
イギリスからヨーロッパへのトンネルはありますか,YES
ディズニーランドにモンスターズインクの乗り物はありますか,YES
ハリケーンがカリフォルニアの海岸を襲ったことがありますか,YES
彼らはまだグレイの解剖学のエピソードを作っているのですか？,YES
NBAでフリースローでジャンプできますか,YES
選択的サービスに登録することは法律で義務付けられていますか,YES
ヒーターコアはACと関係がありますか,No
花冠は外岸の一部ですか,YES
ボルドーはバーガンディと同じ色ですか,YES
ボードウォーク・エンパイアのシーズン6はありますか？,No
アパラチア山脈の最高点は山にあります。マサチューセッツ州のミッチェル,No
レバ・マクセンタイアの息子はレーシングカーのドライバーですか,YES
ワールドカップの延長戦はゴールデンゴールですか,No
100ポンド紙幣のようなものはありますか,YES
首相の質問は事前にわかっているのか,No
Xbox One は Xbox 360 ゲームをプレイできますか,YES
Sons of anarchyではジュースが殺されるのか？,YES
連合規約に大統領の記載はありましたか,No
修正第 3 条は国民が同意なしに兵力を四分の一にすることから保護する,YES
イングランド女王は首相を任命しますか,YES
米国に洋上風力発電所はありますか,YES
フロリダで隠し武器を持ち運べますか,YES
囲碁には宇宙の原子よりも多くの動きが存在するのか,YES
アモンティリャードの樽は短編小説ですか,YES
ソレノイドの外側に磁場はありますか,YES
走るとき両足は地面から離れますか,YES
ターゲットオーストラリアはターゲットアメリカと同じですか,No
レバノンはワールドカップ出場権を獲得したことがありますか,No
ルバーブの葉を食べられますか,No
チェスのポーンで初手で殺せますか,No
私の義理の兄弟は私の義理の兄弟ですか,YES
レッドウィング作戦の遺体は回収されたのか,YES
これは私です、偉大なショーマンのために書かれたものですか,YES
ドナとサムはマンマミーアで結婚しましたか？,YES
負傷した兵士は全員パープルハートをもらえますか,YES
セレブの兄貴はアメリカで放送していますか,YES
フロリダの赤道を右折してもいいですか,YES
オズの魔法使いのオリジナルキャストでまだ生きている人はいますか,YES
どうやって廃業するんですか？,YES
故郷と呼べる場所のシーズン5はあるでしょうか？,YES
北極では雪がたくさん降りますか,No
Bトレインはチャーチアベニューに行きますか,YES
タイタニック号は今も海にいますか,YES
リベリアはこれまでにアフリカネイションズカップの出場権を獲得したことがありますか,YES
ユーロビジョンで引き分けがあったことはありますか,YES
差出人住所なしで手紙を郵送できますか,YES
すべてのアミノ酸はブドウ糖に変換できますか,No
延長戦に追加のサブはいますか,YES
クロアチアはワールドカップ決勝に進出したことがありますか,YES
植民地主義と帝国主義の間に違いはありますか,YES
連邦判事は大統領によって解任されるのか,No
ブードックの新しい季節は来るでしょうか,No
売上原価には固定費と変動費が含まれますか,YES
この本の中でリック・デッカードはアンドロイドですか,No
アーニーとバートはまだセサミストリートにいますか,YES
片目ずつまばたきしてもらえますか,YES
Xbox 360 ゲームは Xbox One で動作しますか,YES
楽器なしでレゴロックバンドを演奏できますか,No
狼瘡がなくても頬部発疹はありますか,YES
私の狂ったデブ日記のシーズン4はありますか？,No
韓国にワールドカップ出場権を与えた,YES
マリオ兄弟には苗字がありますか,YES
ファレルズアイスクリームパーラーはまだ営業していますか,YES
アカトビは猛禽類ですか,YES
3番目の21ジャンプストリートはありますか？,YES
ジャーマンシェパードとアルザスアンは同じ品種ですか,YES
エジプトにはまだ王と王妃がいますか,No
コンピュータはポーカーで人間に勝つことができますか,YES
赤ちゃんは24週目に子宮の外で生存できますか,YES
ロカンドワラでの銃撃戦は本当の話ですか,YES
プロセッコはイタリアで作らなければなりませんか,YES
Xbox One で Xbox ゲームをプレイできますか,YES
カトリック教会でいとこ同士は結婚できますか,YES
これまでに最優秀選手と最優秀守備選手を獲得した人はいますか,YES
パラダイスのシーズン3はありますか？,No
彼らは実際にグレイの解剖学で歌っているのですか？,YES
ミズーリ州で隠して持ち込むには許可が必要ですか,No
第5波の2冊目はありますか？,YES
前脛骨静脈は深部静脈ですか,YES
ラスベガスにはプロフットボールチームがありますか,YES
公園やレクの前にオフィスに来ましたか？,YES
これが新しい女の子の最後のシーズンですか,YES
彼らという単語は単数代名詞として使用できますか,YES
レインボーシックス シージにはストーリーモードがありますか,YES
サムとディーンは母親殺しを見つけますか,YES
ナメクジとカタツムリに違いはありますか,YES
エリー運河は今でも荷物の輸送に使用されていますか,YES
クロウタドリのメスのくちばしは黄色いですか,No
欧州人権条約は条約ですか,YES
処女かどうか検査を受けられますか,No
先代または絶滅種の馬はいますか,YES
Surface Pro 4 には Office が付属していますか,YES
『ワンス・アポン・ア・トム』のシーズン7はあるでしょうか？,YES
償いの日に断食しますか,YES
家で狼瘡が発生したことはありますか,YES
Google サイトの利用料を支払う必要がありますか,No
セントマーチン島とセントマーチン島は同じ島ですか,YES
マグネティックヒルの料金を支払う必要がありますか,YES
車で100万マイルを運転したことがありますか,YES
ヤフー笑いすぎて死ぬことはできますか？,YES
人は4本以上の親知らずを持つことができますか,YES
ビデオゲームのやりすぎで死ぬことはありますか,YES
ジョージ・オ・マリーはグレイ・アナトミーで死亡したのか,YES
嫌いな人が撤退する新しいシーズンはありますか,No
同じ俳優が欺瞞の双子を演じますか,YES
ボクシングで後頭部を殴ることは合法ですか,No
オオカミグモは背中に赤ちゃんを乗せますか,YES
ベン・アフレックは茫然として混乱した状態でプレーしたのだろうか,YES
ライトを点滅させるのは法律違反ですか,No
ハッテラス岬灯台はまだ使用されていますか,No
ブルーラグーンの最後に登場人物は死ぬのですか？,No
ブラック・ブラッド・ブラザーズのシーズン2はありますか？,No
ココアバターにはココナッツオイルが入っていますか,No
トイレットペーパーの正しい付け方はありますか,No
聖パトリックの日はスコットランドの祝日ですか,No
カリフォルニアに白い城のレストランはありますか,No
私たちの準州は大統領選挙に投票することができますか,No
バットマン対スーパーマンの続編はありますか,YES
ヴィックスのベーパーラブにはアルコールが入っていますか,No
TNTでウィルのセカンドシーズンはありますか？,No
殲滅映画は最初の本にすぎません,YES
膜電位は静止電位と同じですか,YES
古代ローマとローマ帝国は同じものですか,No
ピッツバーグはhを持つ唯一のバーグですか,No
人の心は右側にあるだろうか,YES
自転車にエンジンをかけるのは違法ですか,No
ケイパーとケイパーベリーは同じものですか,No
青の祓魔師のシーズン2はありますか？,YES
ルーブル美術館には本物のモナリザが展示されていますか,YES
ウィル・ガードナーはグッド・ワイフで死ぬのか,YES
エドマンド・フィッツジェラルド号の残骸は見つかったのか,YES
アーニーとバートは同じベッドで寝ましたか,No
ネットフリックスのマーベルショーはMCUの一部ですか,YES
l2 取得は l1 取得と同じですか,No
彼らは私たちに1000ドル紙幣を作りますか？,No
ミシガン州上部の半島にはヘビがいますか,YES
ショー・ハート・オブ・ディクシーはまだ続いていますか,No
ミネソタ州には根拠法の立場がありますか,No
彼らはまだ心臓を呼ぶときを作っていますか,YES
アメリカンチーズの黄色と白には違いがありますか,YES
ミルウォーキー・ブルワーズがワールドシリーズで優勝したことはありますか,No
空軍には特殊作戦部隊がありますか,YES
クレリー法は高校にも適用されますか,No
大統領は議会に新しい法律を提案できるか,YES
南アフリカで銃を持てますか,YES
スパークプラグとイグニッションコイルは同じものですか,No
ファラミアは王の帰還で死ぬのか,YES
彼らは西棟でゾーイを見つけますか?,YES
サイゴンはホーチミン市と同じですか,YES
デトロイトビカムヒューマンと大雨が関係しているのか,No
義理の兄弟は近親者としてカウントされますか,YES
「ロンドンは落ちた」は別の映画の続編ですか,YES
スウェーデンとデンマークを結ぶ橋はありますか,YES
ロザンヌのマークは実生活で死亡しましたか,YES
法廷で修正第 5 条を使用できますか,YES
